Category;Sub-Category;ontology name;ID;Phenotype;Unit;Description;Method;image associated
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_circular;;The ratio of the error resulting from a best-fit circle to the area of the leaf. Error is the average magnitude of residuals (Res) along the leaf’s perimeter, divided by the radius of the circle. Smaller values indicate that the leaf is more circular.;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_rectangular;;The ratio of the area of the rectangle bounding the leaf to the area of the rectangle bounded by the leaf;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_obovoid;;Obovoid is calculated from the maximum width (W), the height at which the maximum width occurs (y), the average width above that height (w1), and the average width below that height (w2), and a scaling function scale_ob as: Obovoid = 1/2 * scale_ob(y) * (1 – w1/W + w2/W) If Obovoid > 0, subtract 0.4. Otherwise, Obovoid is 0.;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_width_widest_pos;;The ratio of the height at which the maximum width occurs to the Maximum Height.;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_eccentricity;;The ratio of the height of the internal ellipse to the Maximum Height.;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_proximal_eccentricity;;The ratio of the height of the internal ellipse to the distance between the bottom of the ellipse and the top of the leaf.;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_distal_eccentricity;;The ratio of the height of the internal ellipse to the distance between the top of the ellipse and the bottom of the leaf;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_shape_index_internal;;The ratio of the internal ellipse’s height to its width;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf shape;leaf shape;http://purl.obolibrary.org/obo/TO_0000492;Leaf_eccentricity_area_index;;The ratio of the area of the leaf outside the ellipse to the total area of the leaf;"The youngest, fully developed leaf from the primary stem was collected at anthesis and scanned on a flatbed scanner, at a resolution of 300 dpi. A size and colour standard was included in each picture. For morphometric measurements, colours were inverted in Adobe Photoshop to increase contrast. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); leaf boundaries were manually adjusted when necessary.";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf colour;leaf color;http://purl.obolibrary.org/obo/TO_0000326;Total_RGB;;Sum of RGB values for leaf colour;"A evenly illuminated, representative section was selected for a digital image of a leaf for each line (see ""Leaf_perimeter""). RGB values were extracted using the ""Color histogram"" plugin (https://imagej.nih.gov/ij/plugins/color-histogram.html) for Fiji (Schneider et al., 2012; Schindelin et al., 2012).";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf colour;leaf color;http://purl.obolibrary.org/obo/TO_0000326;RGB_proportion_green;;Proportion of green in average leaf colour;"A evenly illuminated, representative section was selected for a digital image of a leaf for each line (see ""Leaf_perimeter""). RGB values were extracted using the ""Color histogram"" plugin (https://imagej.nih.gov/ij/plugins/color-histogram.html) for Fiji (Schneider et al., 2012; Schindelin et al., 2012).";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf colour;leaf color;http://purl.obolibrary.org/obo/TO_0000326;RGB_proportion_red;;Proportion of red in average leaf colour;"A evenly illuminated, representative section was selected for a digital image of a leaf for each line (see ""Leaf_perimeter""). RGB values were extracted using the ""Color histogram"" plugin (https://imagej.nih.gov/ij/plugins/color-histogram.html) for Fiji (Schneider et al., 2012; Schindelin et al., 2012).";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Leaf traits;Leaf colour;leaf color;http://purl.obolibrary.org/obo/TO_0000326;RGB_proportion_blue;;Proportion of blue in average leaf colour;"A evenly illuminated, representative section was selected for a digital image of a leaf for each line (see ""Leaf_perimeter""). RGB values were extracted using the ""Color histogram"" plugin (https://imagej.nih.gov/ij/plugins/color-histogram.html) for Fiji (Schneider et al., 2012; Schindelin et al., 2012).";ANN_leaves300dpi_renamed: eg. ANN0801_aBaxial_leaf300dpi
Seed traits;Seed size;seed morphology trait;http://purl.obolibrary.org/obo/TO_0000184;Seed_perimeter;cm;Perimeter of an individual seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed size;seed morphology trait;http://purl.obolibrary.org/obo/TO_0000184;Seed_area;cm2;Area of an individual seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed size;seed width;http://purl.obolibrary.org/obo/TO_0000149;Seed_width_mid_height;cm;Width measured at ½ of the seed’s length;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed size;seed width;http://purl.obolibrary.org/obo/TO_0000149;Seed_maximum_width;cm;Maximum width of the seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed size;seed length;http://purl.obolibrary.org/obo/TO_0000146;Seed_height_mid_width;cm;Length measured at ½ of the seed’s width;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed size;seed length;http://purl.obolibrary.org/obo/TO_0000146;Seed_maximum_height;cm;Maximum width of the seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed size;seed length;http://purl.obolibrary.org/obo/TO_0000146;Seed_curved_height;cm;Length measured along a curved line through the seed (equidistant from both seed borders);"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_HW_ratio;cm;Ratio between curved length and maximum seed width;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_shape_index_external_I;;The ratio of the Maximum Height to Maximum Width;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_shape_index_external_II;;The ratio of Height Midwidth to Width Mid-height;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_curved_shape_index;;The ratio of Curved Height to the width of the seed at mid-curved-height, as measured perpendicular to the curved height line;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_ellipsoid;;The ratio of the error resulting from a best-fit ellipse to the area of the seed. Error is the average magnitude of residuals (Res) along the seed’s perimeter, divided by the length of the major (longer) axis of the ellipse. Smaller values indicate that the seed is more ellipsoid;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_circular;;The ratio of the error resulting from a best-fit circle to the area of the seed. Error is the average magnitude of residuals (Res) along the seed’s perimeter, divided by the radius of the circle. Smaller values indicate that the seed is more circular.;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_rectangular;;The ratio of the area of the rectangle bounding the seed to the area of the rectangle bounded by the seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_ovoid;;Ovoid is calculated from the maximum width (W), the height at which the maximum width occurs (y), the average width above that height (w1), and the average width below that height (w2), and a scaling function scale_ov as: Ovoid = 1/2 * scale_ov(y) * (1 – w2/W + w1/W). If Ovoid > 0, subtract 0.4. Otherwise, Ovoid is 0.;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_width_widest_pos;;The ratio of the height at which the maximum width occurs to the Maximum Height.;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_eccentricity;;The ratio of the height of the internal ellipse to the Maximum Height.;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_proximal_eccentricity;;The ratio of the height of the internal ellipse to the distance between the bottom of the ellipse and the top of the seed.;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_distal_eccentricity;;The ratio of the height of the internal ellipse to the distance between the top of the ellipse and the bottom of the seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_shape_index_internal;;The ratio of the internal ellipse’s height to its width;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
Seed traits;Seed shape;seed shape;http://purl.obolibrary.org/obo/TO_0000484;Seed_eccentricity_area_index;;The ratio of the area of the seed outside the ellipse to the total area of the seed;"At least three inflorescences for each plant were bagged before anthesis and manually crossed to another individual from the same population of origin. Seeds were let to dry on the plant, collected, cleaned and store in an hermetically sealed box containing silica gel. Eigth seeds from each plant were imaged using a high resolution scanner, at a resolution of 2400 dpi. A size and colour standard was included in each picture. Images were analyed using Tomato Analyzer (Rodrigues. et al. 2010); object boundaries in Tomato Analyzer were manually adjusted to exclude seed hair.";ANN_seeds: eg. ANN0801_seedsF1
