Plant ID;Genotype ID;Days to budding;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue
ARG0225;ARG0225N;115;35,28290469;3,394;42,424;12,49946699;287,8248;4030,0416;49,7832;64,008;96,2664;98,0448;106,0536;1,65688039;1,5317;1,9337;2,0568;0,1053;0,1773;0,3664;0;0,2738;0,6234;0,8856;0,6877;1,6216;0,5534;235,187;0,418611573;0,306896215;0,274492213
ARG0226;ARG0226N;128;32,23672827;3,404;41,844;12,29095549;330,612;4721,9328;52,3248;70,3584;109,9824;112,5216;118,3176;1,681641424;1,5993;2,1019;2,2833;0,1146;0,2041;0,3261;0,454;0,7278;0,5701;0,6528;0,8601;1,3548;0,497;218,004;0,424125245;0,30948056;0,266394195
ARG0227;ARG0227;117;29,86274955;2,928285237;42,06773527;14,36599643;401,9016;7582,176;72,3888;86,6136;128,5248;140,9712;140,7264;1,624761008;1,6276;1,7754;2,0001;0,0996;0,185;0,3454;0,4314;0,6723;0,7004;0,8117;0,8661;1,5645;0,3569;233,734;0,421201023;0,314596935;0,264202042
ARG0228;ARG0228;128;42,89956332;3,154946153;39,39107438;12,48549816;319,3056;5092,7616;55,1184;71,8824;112,776;115,824;115,32;1,604287002;1,6113;2,0461;1,8866;0,1069;0,1939;0,3307;0,5155;0,7113;0,7648;0,8832;0,87;1,9121;0,3698;230,596;0,413901369;0,314068761;0,27202987
ARG0229;ARG0229;117;31,4593777;3,689630977;42,18889315;11,43444789;316,2456;4193,1072;48,5136;62,7384;96,7752;109,9824;115,3272;1,83822348;1,753;1,9948;1,9012;0,1028;0,2149;0,32;0,4563;0,673;0,4815;0,5622;0,8421;1,1429;0,5425;199,581;0,432616331;0,310771065;0,256612603
ARG0230;ARG0230N;124;25,36589517;2,483;41,656;16,77379241;312,4824;4292,64;43,1808;63,7536;103,3776;114,0456;117,0888;1,836583346;1,7888;2,3941;2,6644;0,1185;0,2455;0,3113;0,53;0,7253;0,6652;0,7661;0,8817;2,1912;0,5216;236,358;0,419930783;0,31654101;0,263528207
ARG0231;ARG0231;110;32,63326821;3,481721686;41,84928619;12,01971035;355,5504;6734,88;66,8016;85,344;125,9832;125,9832;130,7928;1,532536558;1,4762;1,8859;1,9142;0,0993;0,1628;0,3534;0,4987;0,7088;0,7758;0,8668;0,8848;1,8113;0,3875;214,834;0,423927311;0,318180549;0,25789214
ARG0232;ARG0232;108;19,53966314;2,618433233;42,14234101;16,09448753;380,0928;8285,8176;92,4552;101,0928;113,5392;122,6808;127,3032;1,25927069;1,2136;1,228;1,3616;0,0808;0,0953;0,3948;0,3453;0,6534;0,7095;0,855;0,8837;1,1477;0,3767;246,794;0,389632649;0,314148642;0,296218709
ARG0233;ARG0233;105;29,97352839;2,7207542;41,47745265;15,2448364;330,78;4956,7104;48,768;67,8192;122,4288;125,9832;128,5968;1,896170996;1,8577;2,5104;2,5534;0,121;0,2464;0,3028;0,5117;0,6935;0,7758;0,9231;0,8807;2,5263;0,4033;222,527;0,424200209;0,325084147;0,250715643
ARG0234;ARG0234;117;28,17512752;2,719377005;42,26255021;15,54126189;376,1016;6681,4272;70,3584;86,868;120,9048;125,2224;130,3632;1,500704517;1,4415;1,7184;1,82;0,1046;0,1618;0,3317;0,465;0,6792;0,748;0,8762;0,8598;1,4375;0,2855;248,643;0,394919624;0,315315533;0,289764844
ARG0235;ARG0235;114;27,47113503;2,98807984;40,28830653;13,48300872;368,0136;6468,5952;61,7232;81,7872;128,2704;134,6208;132,0432;1,61447268;1,646;2,0782;2,0794;0,1133;0,2041;0,3097;0,4826;0,7013;0,741;0,9311;0,8578;1,9029;0,3674;231,983;0,425664812;0,315682615;0,258652574
ARG0236;ARG0236;110;25,52365864;2,490451032;40,68778289;16,33751572;386,8728;6959,7504;60,1968;86,3592;129,54;135,1272;138,8904;1,608287247;1,5647;2,1519;2,2137;0,1169;0,2057;0,3267;0,5664;0,7504;0,7533;0,8696;0,883;1,9231;0,3943;234,767;0,408285662;0,323840233;0,267874105
ARG0237;ARG0237;123;NA;3,266410941;39,96841016;12,23618549;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARG0238;ARG0238;104;24,64034603;2,887771231;38,9756821;13,49680393;379,9968;7710,9696;71,8824;90,1704;134,6208;135,8904;137,5056;1,524952756;1,507;1,8728;1,8281;0,1023;0,1689;0,3558;0,5368;0,7225;0,794;0,8926;0,8889;1,8761;0,3703;203,127;0,406907994;0,31455198;0,278540027
ARG0239;ARG0239;124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARG0240;ARG0240;118;25,17231763;3,45925362;39,39578397;11,38852143;451,212;9878,3424;82,296;108,9672;147,0648;153,4152;153,8976;1,412329582;1,4079;1,787;1,884;0,1184;0,1659;0,31;0,4747;0,7061;0,6534;0,7476;0,8854;1,4485;0,4503;218,537;0,404471554;0,305252657;0,290275789
ARG0241;ARG0241;97;38,03405906;3,822652389;42,21141569;11,04244158;464,544;10162,944;77,9784;105,9168;151,6368;159,2568;161,7;1,52666999;1,5036;1,9446;2,0804;0,1092;0,1829;0,3531;0,5302;0,7278;0,6773;0,7667;0,8815;1,6825;0,4673;202,338;0,44056974;0,314755508;0,244674752
ARG0242;ARG0242;119;33,81363829;3,801808371;43,1894344;11,36023444;444,5352;9196,8768;86,1072;107,6952;137,16;140,9712;146,3016;1,358478372;1,309;1,5929;1,6057;0,1191;0,1419;0,3555;0,5054;0,6893;0,7798;0,8907;0,9019;1,4694;0,3002;222,75;0,41627385;0,30698541;0,276740741
ARG0243;ARG0243;119;25,00476372;2,817611239;41,19709611;14,6212847;379,3752;7558,56;80,5176;95,2512;119,3808;122,1744;139,1352;1,460718605;1,2827;1,4826;1,5316;0,0972;0,1208;0,3659;0,4748;0,6673;0,7333;0,8341;0,8844;1,3643;0,3912;249,985;0,400756045;0,310370622;0,288873332
ARG0244;ARG0244;117;23,07395626;3,202286948;40,29270851;12,58247907;569,7216;13370,3424;106,1712;134,8728;154,6848;167,1312;178,6344;1,324465719;1,2392;1,4569;1,5639;0,128;0,1498;0,3354;0,4886;0,6598;0,758;0,8557;0,9005;1,3459;0,3017;251,975;0,40302411;0,317464034;0,279511856
ARG0245;ARG0245;118;31,5623069;3,090200622;39,95244112;12,92875318;402,1608;7061,0688;65,7864;84,8352;128,7792;140,208;141,9168;1,672852778;1,6527;1,9575;2,1004;0,1104;0,2078;0,312;0,4989;0,7101;0,6352;0,7338;0,8772;1,5766;0,4424;227,856;0,410996419;0,31124921;0,277754371
ARG0246;ARG0246;114;20,99686293;2,454440597;38,42085764;15,65361072;458,0184;10023,6672;83,0592;102,3624;148,5912;157,7352;161,016;1,572999461;1,5409;1,789;1,9148;0,107;0,1813;0,3629;0,5141;0,6912;0,7161;0,8237;0,8862;1,6818;0,4075;247,679;0,393295354;0,318347539;0,288357107
ARG0247;ARG0247;123;25,91810205;3,388928487;41,44360124;12,22911649;316,6128;4593,6;63,2472;73,4064;104,6472;108,204;109,0128;1,485058524;1,474;1,6546;1,967;0,1164;0,1672;0,3096;0,3784;0,6245;0,5929;0,672;0,863;1,1776;0,4051;237,681;0,400730391;0,311745575;0,287524034
ARG0248;ARG0248;128;29,59336564;2,1622769;40,89778771;18,91422311;297,8832;4573,3824;56,6424;66,2928;103,3776;107,1888;108,9984;1,644196655;1,6169;1,8251;1,9243;0,0847;0,1766;0,3692;0,4187;0,6719;0,7933;0,8836;0,9101;1,8352;0,3265;248,513;0,41357595;0,319786088;0,266637963
ARG0249;ARG0249;119;29,4022479;3,162173892;39,6884343;12,55099677;464,0352;10698,2784;79,5024;108,204;154,4328;155,9568;163,8912;1,514650105;1,4413;1,9425;1,9612;0,1076;0,1608;0,3616;0,5258;0,7014;0,6754;0,7527;0,8809;1,5109;0,4627;238,37;0,399056089;0,305881613;0,295062298
ARG0250;ARG0250;110;21,94550829;2,609958015;39,93985595;15,30287297;456,3888;9835,6608;87,8832;108,204;141,4776;148,0824;153,1872;1,415725851;1,3685;1,6098;1,6753;0,1097;0,1471;0,3504;0,4755;0,7225;0,756;0,9035;0,8853;1,4667;0,32;242,61;0,409471992;0,310560158;0,27996785
ARG0251;ARG0251;128;28,07266515;3,950717686;43,12948403;10,9168732;391,7808;7098,5664;78,2328;92,4552;118,3632;123,444;128,952;1,394751188;1,3352;1,513;1,67;0,1067;0,1377;0,3503;0,4299;0,6567;0,5402;0,6136;0,8733;0,9776;0,4988;242,932;0,387598176;0,306110352;0,306291473
ARG0252;ARG0252;NA;28,67618534;3,526907924;41,18041043;11,67606621;362,4936;6131,2896;57,4032;72,8976;132,588;133,8576;138,5568;1,90070455;1,8362;2,3097;2,1402;0,0972;0,2208;0,3647;0,4656;0,718;0,7947;0,8875;0,8913;2,2717;0,3644;242,407;0,414864257;0,314759887;0,270375855
ARG0253;ARG0253;139;26,91835148;2,963226189;40,5153894;13,67272925;355,8624;5981,8176;59,436;77,9784;124,7136;131,5728;126,42;1,621218183;1,6873;2,0983;2,1443;0,1191;0,2122;0,3104;0,4595;0,6962;0,7737;0,905;0,8989;2,0833;0,3494;231,089;0,421491287;0,316159575;0,262349138
ARG0254;ARG0254;NA;39,71066368;4,548669854;42,5930565;9,363848744;429,6264;9201,9456;79,5024;97,0272;140,9712;146,5584;153,252;1,579474622;1,5105;1,7732;1,8427;0,0961;0,1661;0,3838;0,4839;0,6768;0,6181;0,712;0,8768;1,2993;0,4629;215,937;0,407836545;0,307737905;0,28442555
ARG0255;ARG0255;113;28,08800916;3,150452628;41,8198594;13,27423844;452,7912;9890,0352;71,8824;105,156;155,9568;158,7504;177,348;1,68652288;1,5097;2,1696;1,9691;0,1169;0,196;0,3177;0,5418;0,7524;0,7821;0,9225;0,8873;2,0678;0,4099;212,826;0,409043068;0,30411228;0,286844652
ARG0256;ARG0256;119;25,35986927;3,103153952;42,15371244;13,58415119;499,5144;12514,0608;98,0448;123,1896;158,7504;171,7032;172,164;1,39755304;1,3938;1,6192;1,6412;0,117;0,1504;0,3171;0,4639;0,7157;0,6726;0,8423;0,8781;1,4188;0,4117;228,769;0,400036718;0,307030236;0,292933046
ARG0257;ARG0257;105;30,37997828;3,238950695;39,9503322;12,33434404;428,7696;9666,3744;77,4696;99,5688;152,1456;153,924;154,4208;1,550895461;1,5459;1,9639;1,8171;0,0991;0,1762;0,3582;0,5084;0,7079;0,7901;0,9318;0,8868;1,9752;0,3936;218,524;0,416883271;0,307201955;0,275914774
ARG0258;ARG0258;118;32,54945436;3,571523601;41,04418418;11,49206579;495,5232;10823,5008;84,0744;109,9824;155,448;163,5768;164,5824;1,496443067;1,4873;1,8489;1,8244;0,1183;0,1802;0,3513;0,5359;0,6903;0,7714;0,8748;0,9051;1,7714;0,3498;206,013;0,430773786;0,313489925;0,255736288
ARG0259;ARG0259;NA;23,12487886;2,200067645;38,39447337;17,45149675;470,5248;9620,9856;78,7392;100,584;146,8128;153,1632;164,1312;1,631782391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARG0260;ARG0260;124;23,05379881;3,052179927;39,74898041;13,02314456;508,9296;12514,1184;99,3144;120,396;158,496;170,4336;189,6552;1,575261637;1,4156;1,5959;1,8027;0,1078;0,1481;0,3318;0,476;0,6961;0,7075;0,8876;0,833;1,3941;0,3474;222,236;0,405793841;0,314660991;0,279545168
ARG0261;ARG0261;128;23,76833307;2,502558338;39,51975344;15,79174113;427,5288;8681,184;73,4064;98,0448;145,5432;151,3848;144,8496;1,477381768;1,544;1,9827;1,9596;0,1151;0,1836;0,3221;0,4901;0,7058;0,7395;0,8748;0,8679;1,7742;0,3631;244,511;0,422749897;0,320819922;0,256430181
ARG0262;ARG0262;114;23,84812834;2,917616462;42,04060372;14,409229;408,9096;7706,1888;78,9936;95,5032;117,8568;136,6512;135,1392;1,415022743;1,4309;1,492;1,7218;0,1161;0,1563;0,3443;0,4333;0,6975;0,6555;0,7554;0,9096;1,2662;0,3566;220,545;0,406012378;0,320020857;0,273966764
ARG0263;ARG0263;122;42,87334983;2,885559852;40,4039899;14,00213199;368,244;5986,08;60,96;82,0416;115,0608;123,9528;127,9944;1,560115844;1,5108;1,8875;2,0401;0,1259;0,1873;0,3398;0,51;0,6879;0,5216;0,5991;0,8729;1,1651;0,5313;237,522;0,435875414;0,316619092;0,247505494
ARG0264;ARG0264;120;32,30576441;2,921325545;42,61787444;14,58853995;376,2552;6682,176;61,4688;83,0592;128,5248;134,6208;136,7976;1,646989135;1,6208;2,0909;2,0396;0,1108;0,2014;0,3223;0,5116;0,7351;0,741;0,854;0,8673;1,8491;0,3698;227,013;0,412412505;0,308629902;0,278957593
ARG0265;ARG0265;118;32,90743113;4,04351295;43,82323875;10,8379123;387,6552;5917,6512;49,2768;73,152;139,4448;142,7472;142,836;1,952591864;1,9514;2,8299;2,8385;0,1339;0,2779;0,2787;0,4788;0,7185;0,4207;0,4797;0,8399;1,2292;0,612;230,252;0,396244115;0,304831228;0,298924656
ARG0266;ARG0266N;114;30,37584541;4,048;43,717;10,7984261;416,3784;9054,432;80,772;103,3776;140,7168;143,7648;150,5208;1,456029159;1,3907;1,7421;1,7481;0,1088;0,1458;0,3378;0,5155;0,7252;0,7469;0,844;0,8866;1,6484;0,3954;236,168;0,385805867;0,307975678;0,306218455
ARG0267;ARG0267N;113;22,28826508;3,611;42,172;11,67782284;554,22;14451,7824;110,9976;140,9712;157,4808;169,164;177,5928;1,259780721;1,2;1,4188;1,4159;0,1307;0,1444;0,3562;0,5517;0,6996;0,7308;0,9067;0,8694;1,3207;0,3729;217,868;0,391337874;0,308122349;0,300539776
ARG0268;ARG0268;113;30,4003153;3,802423712;40,11868141;10,55081823;534,144;14439,2256;108,4584;134,8728;169,164;172,212;182,5752;1,35368436;1,2768;1,5597;1,6263;0,1012;0,1216;0,358;0,4752;0,7115;0,7504;0,8928;0,8538;1,3804;0,344;217,86;0,391838796;0,304098963;0,304062242
ARG0269;ARG0269;139;28,45467064;3,106718765;41,37990261;13,31948777;395,5296;7141,0752;67,8192;88,6464;134,8728;136,3992;143,2344;1,615794888;1,5387;1,9888;1,7334;0,1073;0,1883;0,3179;0,451;0,6981;0,5933;0,6989;0,8809;1,3475;0,4675;224,968;0,411778564;0,313320117;0,274901319
ARG0270;ARG0270;123;23,63059661;3,143967752;40,28931865;12,81480022;509,7672;12616,2432;96,5208;111,7608;175,26;181,356;185,244;1,657504241;1,6227;1,8158;1,9243;0,0955;0,1823;0,3514;0,456;0,6911;0,7461;0,911;0,8526;1,6319;0,3034;206,93;0,416657807;0,306804233;0,27653796
ARG0271;ARG0271;114;28,77892287;2,846503283;42,35731884;14,88047426;307,6248;4986,2592;61,2144;73,4064;104,3952;106,4256;113,0856;1,540541424;1,4498;1,7054;1,7296;0,0982;0,1507;0,3687;0,5241;0,7124;0,6746;0,7581;0,8812;1,41;0,4269;218,693;0,415509413;0,313507977;0,27098261
ARG0272;ARG0272;110;29,80232888;3,176570355;42,88784202;13,50130399;407,3328;6044,1984;61,2144;76,2;129,2856;131,5728;142,6056;1,871464567;1,7267;2,112;1,5071;0,1059;0,21;0,3342;0,4068;0,7057;0,5029;0,5664;0,8469;1,1818;0,5205;221,965;0,431126529;0,315761494;0,253111977
ARG0273;ARG0273;110;32,52781186;4,368357203;42,39508873;9,70504168;442,4208;9161,9136;72,8976;108,204;144,0192;150,876;148,7712;1,374914051;1,3944;1,9756;2,0696;0,1372;0,1847;0,2995;0,5461;0,7492;0,7622;0,8898;0,8863;1,9825;0,43;198,806;0,425148134;0,306087341;0,268764524
ARG0274;ARG0274;112;33,07531263;3,813731304;41,54808261;10,89433924;528,4392;13558,8672;99,5688;119,6352;186,1824;191,0088;200,1144;1,672705023;1,5966;1,8699;2,0101;0,0977;0,1793;0,3059;0,4007;0,7102;0,7324;0,8716;0,8234;1,6369;0,3094;213,321;0,397012015;0,313138416;0,289849569
ARG0275;ARG0275;105;27,35970009;3,248624624;39,90585914;12,28392436;419,2632;8407,5264;80,0112;96,2664;128,016;145,0344;141,3408;1,468225674;1,5066;1,6;1,8803;0,1139;0,1773;0,3236;0,4341;0,7169;0,6596;0,7658;0,8704;1,3824;0,3836;236,082;0,417079659;0,310985166;0,271935175
ARG0276;ARG0276;105;29,1311039;3,333303024;43,84105487;13,15243605;430,4616;10085,328;94,3608;109,854;136,2708;144,144;149,418;1,360306318;1,3121;1,44425;1,5135;0,09425;0,1144;0,37585;0,4503;0,65765;0,71015;0,8277;0,8856;1,33895;0,39255;217,984;0,412204565;0,319899626;0,267895809
ARG0277;ARG0277N;117;19,74525772;2,96;41,625;14,06413294;479,472;11451,744;96,7752;119,1264;155,7024;160,2744;179,604;1,50767588;1,3454;1,6089;1,724;0,1137;0,1456;0,3153;0,4377;0,7079;0,746;0,9381;0,8484;1,4242;0,3137;212,581;0,406983691;0,315841961;0,277174348
ARG0278;ARG0278N;110;22,76222101;2,529;40,751;16,11539508;447,9312;12042,4896;104,1408;116,0784;140,9712;153,924;154,44;1,330480089;1,326;1,3537;1,4704;0,0823;0,1106;0,3956;0,4277;0,6815;0,7306;0,8911;0,8858;1,3476;0,39;247,471;0,401723838;0,312335587;0,285940575
ARG0279;ARG0279;105;23,93058524;3,47785762;41,88326985;12,04283626;536,0688;13542,7968;87,3768;101,8536;200,4072;203,7072;208,212;2,044228186;2;2,2936;2,3691;0,085;0,2332;0,3809;0,4199;0,6995;0,7316;0,8128;0,8865;2,1079;0,3905;218,936;0,417290898;0,311173128;0,271535974
ARG0280;ARG0280;128;28,93316832;3,86148635;42,77564322;11,0775073;526,608;12792,4416;100,3296;124,4592;159,7656;167,3856;174,5688;1,402618689;1,3449;1,5924;1,702;0,1186;0,1499;0,3517;0,4784;0,6848;0,7842;0,8866;0,9399;1,4254;0,2601;193,341;0,412106072;0,315737479;0,272156449
ARG0281;ARG0281;105;28,98999701;3,994293101;40,117253;10,04364276;493,6224;11184,48;98,8056;123,1896;150,876;160,2744;167,6208;1,360673304;1,301;1,527;1,7254;0,1468;0,1697;0,3376;0,5528;0,7217;0,7492;0,9365;0,8872;1,5128;0,3328;220,087;0,410733028;0,309295869;0,279971102
ARG0282;ARG0282;NA;27,7840836;3,30888776;39,77275495;12,01997705;453,6528;9954,2592;90,1704;110,7432;142,7472;149,8608;153,8736;1,389463191;1,3532;1,5831;1,712;0,1137;0,1446;0,3253;0,498;0,7191;0,6282;0,7356;0,8894;1,2171;0,4274;234,863;0,400412155;0,305352482;0,294235363
ARG0283;ARG0283;118;29,46778098;2,802747812;41,27294865;14,72588739;544,0272;14724,4608;110,7432;131,3184;176,2752;180,3408;182,1216;1,386870385;1,3733;1,5917;1,6788;0,1087;0,1553;0,3511;0,4916;0,6594;0,7334;0,8497;0,8859;1,4689;0,3665;235,056;0,405558675;0,318477299;0,275964026
ARG0284;ARG0284;105;32,96902017;3,075811194;41,72704556;13,56619212;341,5944;5271,6672;54,3552;74,676;112,2672;118,872;122,124;1,635384863;1,5918;2,0654;2,2157;0,1161;0,2096;0,3184;0,5381;0,7097;0,6552;0,7286;0,8793;1,7386;0,4823;227,515;0,427017999;0,319227304;0,253754697
ARG0285;ARG0285;125;24,90658351;2,76955593;39,21019264;14,15757386;459,2448;10350,7776;78,7392;108,7128;148,3368;157,4808;158,016;1,453517893;1,4486;1,8839;1,7469;0,1203;0,181;0,3241;0,5706;0,7271;0,7625;0,8661;0,8906;1,8438;0,4085;234,62;0,418037678;0,312692865;0,269269457
ARG0286;ARG0286;110;21,30264576;2,377818506;38,66852323;16,26218449;456,3072;10249,4016;86,3592;102,8688;146,5584;153,924;155,6376;1,512971863;1,4963;1,6971;1,5149;0,0895;0,1636;0,3714;0,4785;0,6979;0,7636;0,9059;0,8885;1,6619;0,365;NA;NA;NA;NA
ARG0287;ARG0287;NA;23,76202426;3,945174317;42,54626349;10,78438114;369,7272;6545,088;58,6752;77,9784;132,588;137,16;139,2384;1,785602167;1,759;2,2597;1,4353;0,1077;0,2207;0,3395;0,4926;0,7327;0,7829;0,881;0,8998;2,2447;0,3858;233,521;0,392744122;0,315440581;0,291815297
ARG0288;ARG0288;110;29,84765208;3,586038094;40,91549827;11,40966638;399,3216;6443,6544;61,7232;84,5808;128,2704;131,8272;140,2032;1,657624425;1,5586;2,0782;2,2179;0,1375;0,214;0,3277;0,5812;0,737;0,7722;0,8715;0,885;1,9417;0,352;259,859;0,390588742;0,313181379;0,296229879
ARG0289;ARG0289;110;27,45572186;2,72596828;39,507604;14,49305345;477,54;10143,4176;84,5808;107,4432;158,7504;159,5112;166,0776;1,545724625;1,4846;1,8769;1,8321;0,1225;0,1791;0,3309;0,5263;0,7156;0,6794;0,7648;0,8857;1,5106;0,3999;233,906;0,421737792;0,31804229;0,260219917
ARG0290;ARG0290;115;30,6;3,271498523;41,73517357;12,75720385;390,264;7376,3136;71,628;85,5984;132,588;135,8904;143,1768;1,672657433;1,5875;1,8511;1,9918;0,0998;0,1887;0,3593;0,479;0,7138;0,6704;0,7682;0,8861;1,5299;0,4245;230,467;0,396356094;0,311593417;0,292050489
ARG0291;ARG0291;110;32,13057103;3,696301128;41,29154065;11,17104349;348,5568;5315,2704;48,2592;68,3256;116,0784;126,2376;126,756;1,855175805;1,8476;2,4053;2,2071;0,1083;0,2426;0,3571;0,5158;0,7365;0,621;0,7512;0,8775;1,925;0,5302;222,549;0,408552723;0,310390071;0,281057205
ARG0292;ARG0292;112;38,65910702;3,584244529;42,03642963;11,72811433;349,2768;6283,9296;67,5648;78,9936;118,3632;123,9528;128,5992;1,627969861;1,5691;1,7519;1,8769;0,0783;0,1675;0,339;0,4057;0,666;0,7556;0,844;0,8867;1,6727;0,3472;217,239;0,424573856;0,309046718;0,266379425
ARG0293;ARG0293;119;29,90983831;3,508220528;41,31998785;11,77804745;335,604;6286,5216;65,7864;83,3112;111,5064;116,0784;131,8776;1,582951632;1,3933;1,695;1,8028;0,0983;0,1428;0,3643;0,4617;0,7155;0,7675;0,8794;0,8906;1,699;0,4189;246,759;0,410651688;0,316288362;0,273059949
ARG0294;ARG0294;134;30,6735176;3,073616543;40,44234235;13,15790105;406,14;7478,8416;63,7536;86,6136;138,9384;141,2232;150,2928;1,735210175;1,6305;2,1793;1,6186;0,1107;0,2132;0,3584;0,5759;0,7811;0,7784;0,8907;0,8745;2,16;0,4146;255,171;0,413550129;0,322195704;0,264254167
ARG0295;ARG0295;139;26,50799624;2,941111587;41,02668263;13,94937982;467,9328;9738,3168;76,2;100,584;152,4;158,2416;163,2;1,622524457;1,5732;2;2,1346;0,1106;0,1943;0,3269;0,448;0,6564;0,5177;0,644;0,8364;1,1583;0,5342;232,452;0,392360573;0,313238862;0,294400564
ARG0296;ARG0296;134;23,3512495;2,81671333;42,24765828;14,99892013;379,9296;6781,6512;61,4688;84,5808;121,4112;128,5248;134,0688;1,585097327;1,5195;1,9752;1,9386;0,1024;0,1776;0,3646;0,4848;0,7235;0,7564;0,8546;0,9031;1,7207;0,3664;253,297;0,38562636;0,313596292;0,300777348
ARG0297;ARG0297;110;33,94680851;3,578784437;40,5048001;11,31803293;367,7832;6433,056;60,96;76,4544;133,3512;137,16;141,4248;1,849792818;1,794;2,1875;2,3296;0,0869;0,2105;0,3344;0,4241;0,7169;0,7792;0,9231;0,8861;2,1875;0,3648;245,572;0,412632548;0,312767742;0,27459971
ARG0298;ARG0298N;128;25,46835199;2,761;41,54;15,04427774;414,4128;7601,8752;57,912;87,8832;142,7472;149,8608;153,4752;1,746354252;1,7052;2,4649;2,5038;0,1251;0,2426;0,3014;0,5674;0,7224;0,6961;0,8087;0,8836;2,2283;0,4971;203,492;0,433619012;0,313393156;0,252987832
ARG0299;ARG0299;139;38,22117831;4,155415041;42,20995641;10,15781962;460,6944;11247,6672;86,868;105,156;163,5768;165,3552;168,288;1,600365172;1,5725;1,883;1,901;0,085;0,1682;0,3632;0,4187;0,7348;0,7877;0,8828;0,8858;1,8686;0,368;192,737;0,436740221;0,30895469;0,254305089
ARG0300;ARG0300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0716;0,1629;0,398;0,3168;0,6667;0,7671;0,8904;0,8527;1,6903;0,3687;227,663;0,394943403;0,317355038;0,287701559